Country,Indicator,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
RUS,IT.CEL.SETS.P2,165.6610167,141.7866096,144.4957561,151.2556334,152.7878864,156.7665611,157.718498,156.187408,157.431312,164.3876311,
RUS,IT.MLT.MAIN,44915829,44151461,42168388,40473148,38212576,35553328,32276615,31952072,30108289,27674128,
RUS,IT.MLT.MAIN.P2,31.30475068,30.72409993,29.28484494,28.0429739,26.41455639,24.52206368,22.21753909,21.95564763,20.65975074,18.97148146,
RUS,IT.NET.BBND,15700000,17634806,20923296,23745346,24950550,26881463,27522702,31103235,32062780,32857614,
RUS,IT.NET.BBND.P2,10.94234698,12.27170131,14.53068301,16.45263962,17.24714162,18.54085073,18.94519321,21.37237509,22.0008863,22.52492345,
RUS,IT.NET.SECR,2442,4126,8245,11442,17310,46313,168007,511677,749930,1348308,1923034
RUS,IT.NET.SECR.P6,17.09491841,28.86103661,57.57612368,79.73130508,120.3590605,321.4018459,1163.947693,3541.097215,5190.622322,9336.908183,13344.75748
RUS,IT.NET.USER.ZS,43,49,63.8,67.97,70.52,70.09924123,73.09143462,76.00813853,80.86472187,82.64216187,
RUS,LP.LPI.INFR.XQ,2.38,,2.45,,2.589942,,2.429523,,2.78,,
RUS,NY.GDP.MKTP.KD,1.52492E+12,1.59049E+12,1.65449E+12,1.68354E+12,1.69593E+12,1.66247E+12,1.66569E+12,1.69611E+12,1.74372E+12,1.77917E+12,1.72666E+12
